,pokedex_number,name,generation,status,species,type_number,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
77,59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,Fire,555.0,90.0,110.0,80.0,100.0,80.0,95.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,Water,300.0,40.0,50.0,40.0,40.0,40.0,90.0,Medium Slow,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,Water,385.0,65.0,65.0,65.0,50.0,50.0,90.0,Medium Slow,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,Fighting,510.0,90.0,95.0,95.0,70.0,90.0,70.0,Medium Slow,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,Abra,1,Normal,Psi Pokémon,1,Psychic,Psychic,310.0,25.0,20.0,15.0,105.0,55.0,90.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,Psychic,400.0,40.0,35.0,30.0,120.0,70.0,105.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
83,65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,Psychic,500.0,55.0,50.0,45.0,135.0,95.0,120.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
85,66,Machop,1,Normal,Superpower Pokémon,1,Fighting,Fighting,305.0,70.0,80.0,50.0,35.0,35.0,35.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
86,67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,Fighting,405.0,80.0,100.0,70.0,50.0,60.0,45.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
87,68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,Fighting,505.0,90.0,130.0,80.0,65.0,85.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
88,69,Bellsprout,1,Normal,Flower Pokémon,2,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
89,70,Weepinbell,1,Normal,Flycatcher Pokémon,2,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
90,71,Victreebel,1,Normal,Flycatcher Pokémon,2,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
91,72,Tentacool,1,Normal,Jellyfish Pokémon,2,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,Slow,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
92,73,Tentacruel,1,Normal,Jellyfish Pokémon,2,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,Slow,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
93,74,Geodude,1,Normal,Rock Pokémon,2,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,Medium Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
94,74,Alolan Geodude,1,Normal,Rock Pokémon,2,Rock,Electric,300.0,40.0,80.0,100.0,30.0,30.0,20.0,Medium Slow,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,75,Graveler,1,Normal,Rock Pokémon,2,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,Medium Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
96,75,Alolan Graveler,1,Normal,Rock Pokémon,2,Rock,Electric,390.0,55.0,95.0,115.0,45.0,45.0,35.0,Medium Slow,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,76,Golem,1,Normal,Megaton Pokémon,2,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,Medium Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
98,76,Alolan Golem,1,Normal,Megaton Pokémon,2,Rock,Electric,495.0,80.0,120.0,130.0,55.0,65.0,45.0,Medium Slow,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,77,Ponyta,1,Normal,Fire Horse Pokémon,1,Fire,Fire,410.0,50.0,85.0,55.0,65.0,65.0,90.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
100,77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,1,Psychic,Psychic,410.0,50.0,85.0,55.0,65.0,65.0,90.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
101,78,Rapidash,1,Normal,Fire Horse Pokémon,1,Fire,Fire,500.0,65.0,100.0,70.0,80.0,80.0,105.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
